"uid","namedLocation","domainID","siteID","plotID","plotType","sampleID","ligninSampleID","collectDate","analysisDate","analyticalRepNumber","dryMass","ligninPercent","cellulosePercent","measurementQF","accuracyQF","remarks","laboratoryName","testMethod","analyzedBy","reviewedBy","dataQF"
"246bed7f-5e9b-49b2-a3e0-6d18dd5488aa","MOAB_001.basePlot.cfc","D13","MOAB","MOAB_001","distributed","S9R44vg6v28f+Zts8A8BN+Exr3BnFsIB79W8iF9t0IU=","S9R44vg6v28f+Zts8A8BN+Exr3BnFsIBNQJruMsGre0=","2017-09-07T17:30Z","2018-02-07",1,0.566,3.77,28.6,"0","0",NA,"University of Florida Wetland Biogeochemistry Laboratory","WBL-M-028","bKF36824dpcABkIQiw5BLQ==","5NMApxg5Cd0pWFY84VRdIg==",NA
"c2d2e5e1-2b8c-4a31-9102-4958d4835bd6","MOAB_009.basePlot.cfc","D13","MOAB","MOAB_009","distributed","S9R44vg6v29a3iYIcLakVBjap3adP+f7IHuLsgccAVE=","S9R44vg6v29a3iYIcLakVBjap3adP+f78ZtLoBLdzcA=","2017-09-07T19:00Z","2018-02-07",1,0.564,2.2,33.85,"0","0",NA,"University of Florida Wetland Biogeochemistry Laboratory","WBL-M-028","bKF36824dpcABkIQiw5BLQ==","5NMApxg5Cd0pWFY84VRdIg==",NA
"282c331d-2fa4-4c59-ab99-cfaf785b058d","MOAB_010.basePlot.cfc","D13","MOAB","MOAB_010","distributed","S9R44vg6v29Az0sdlbKhGb3OfO6BV3ZT2YDmW4B2NYQ=","S9R44vg6v29Az0sdlbKhGb3OfO6BV3ZTSDO4My8H6tE=","2017-09-07T20:00Z","2018-02-07",1,0.522,2.88,30.6,"0","0",NA,"University of Florida Wetland Biogeochemistry Laboratory","WBL-M-028","bKF36824dpcABkIQiw5BLQ==","5NMApxg5Cd0pWFY84VRdIg==",NA
"eb646a2f-3443-4aa0-95d3-8aa0c6bfc936","MOAB_046.basePlot.cfc","D13","MOAB","MOAB_046","tower","S9R44vg6v2/MrQsjQZV30DSyddux20m2h/Rcmy8/F5E=","S9R44vg6v2/MrQsjQZV30DSyddux20m2SAVScVRQCzg=","2017-09-09T17:00Z","2018-02-07",1,0.543,3.17,31.77,"0","0",NA,"University of Florida Wetland Biogeochemistry Laboratory","WBL-M-028","bKF36824dpcABkIQiw5BLQ==","5NMApxg5Cd0pWFY84VRdIg==",NA
"0bed0ef8-da0b-43b9-8a18-bd9036db4e57","MOAB_045.basePlot.cfc","D13","MOAB","MOAB_045","tower","S9R44vg6v29ha3pkiv5lPCuTCeomUQhsI60KGC1Fc44=","S9R44vg6v29ha3pkiv5lPCuTCeomUQhs341SS5KYrY4=","2017-09-09T19:00Z","2018-02-07",1,0.527,3.11,30.57,"0","0","This is a full duplicate","University of Florida Wetland Biogeochemistry Laboratory","WBL-M-028","bKF36824dpcABkIQiw5BLQ==","5NMApxg5Cd0pWFY84VRdIg==",NA
"0bed0ef8-da0b-43b9-8a18-bd9036db4e58","MOAB_045.basePlot.cfc","D13","MOAB","MOAB_045","tower","S9R44vg6v29ha3pkiv5lPCuTCeomUQhsI60KGC1Fc44=","S9R44vg6v29ha3pkiv5lPCuTCeomUQhs341SS5KYrY4=","2017-09-09T19:00Z","2018-02-07",1,0.527,3.11,30.57,"0","0","This is a full duplicate","University of Florida Wetland Biogeochemistry Laboratory","WBL-M-028","bKF36824dpcABkIQiw5BLQ==","5NMApxg5Cd0pWFY84VRdIg==",NA
"0bed0ef8-da0b-43b9-8a18-bd9036db4e59","MOAB_045.basePlot.cfc","D13","MOAB","MOAB_045","tower","S9R44vg6v29ha3pkiv5lPCuTCeomUQhsI60KGC1Fc44=","S9R44vg6v29ha3pkiv5lPCuTCeomUQhs341SS5KYrY4=","2017-09-09T19:00Z","2018-02-07",1,0.527,3.11,37.2,"0","0","This is a 3rd duplicate with inconsistent data","University of Florida Wetland Biogeochemistry Laboratory","WBL-M-028","bKF36824dpcABkIQiw5BLQ==","5NMApxg5Cd0pWFY84VRdIg==",NA
"eb61baed-2923-455a-819d-6cc78e45e388","MOAB_047.basePlot.cfc","D13","MOAB","MOAB_047","tower","S9R44vg6v2/Sa7hSEKNKHKnsYa4CbdeP+5AeCh0emEk=","S9R44vg6v2/Sa7hSEKNKHKnsYa4CbdePJkibog+V1IQ=","2017-09-09T21:00Z","2018-02-07",1,0.568,3.52,30.3,"0","0",NA,"University of Florida Wetland Biogeochemistry Laboratory","WBL-M-028","bKF36824dpcABkIQiw5BLQ==","5NMApxg5Cd0pWFY84VRdIg==",NA
"58010fe8-5ffe-400c-abb4-037ee21633b5","MOAB_002.basePlot.cfc","D13","MOAB","MOAB_002","distributed","S9R44vg6v2+SKjSdx5MDkqDKvmVLtGDsEvBR62FNuys=","S9R44vg6v2+SKjSdx5MDkqDKvmVLtGDsqZtOLaPBE1s=","2017-09-10T17:00Z","2018-02-07",1,0.525,NA,31.51,"0","0","These duplicates contain mismatched NAs","University of Florida Wetland Biogeochemistry Laboratory","WBL-M-028","bKF36824dpcABkIQiw5BLQ==","5NMApxg5Cd0pWFY84VRdIg==",NA
"58010fe8-5ffe-400c-abb4-037ee21633b6","MOAB_002.basePlot.cfc","D13","MOAB","MOAB_002","distributed","S9R44vg6v2+SKjSdx5MDkqDKvmVLtGDsEvBR62FNuys=","S9R44vg6v2+SKjSdx5MDkqDKvmVLtGDsqZtOLaPBE1s=","2017-09-10T17:00Z","2018-02-07",1,NA,5.13,31.51,"0","0","These duplicates contain mismatched NAs","University of Florida Wetland Biogeochemistry Laboratory","WBL-M-028","bKF36824dpcABkIQiw5BLQ==","5NMApxg5Cd0pWFY84VRdIg==",NA
"58010fe8-5ffe-400c-abb4-037ee21633b7","MOAB_002.basePlot.cfc","D13","MOAB","MOAB_002","distributed","S9R44vg6v2+SKjSdx5MDkqDKvmVLtGDsEvBR62FNuys=","S9R44vg6v2+SKjSdx5MDkqDKvmVLtGDsqZtOLaPBE1s=","2017-09-10T17:00Z","2018-02-07",1,0.525,5.13,NA,"0","0","These duplicates contain mismatched NAs and there are 3","University of Florida Wetland Biogeochemistry Laboratory","WBL-M-028","bKF36824dpcABkIQiw5BLQ==","5NMApxg5Cd0pWFY84VRdIg==",NA
"006be0d6-307c-4bc4-b287-d88041738967","MOAB_006.basePlot.cfc","D13","MOAB","MOAB_006","distributed","S9R44vg6v2+1jRmWdbEcAJawb+LPEfYNK3yvx7MecLo=","S9R44vg6v2+1jRmWdbEcAJawb+LPEfYN/Vnh4K7IhOc=","2017-09-10T19:00Z","2018-02-07",2,0.516,5.44,37.7,"0","0","This is analytical rep 2","University of Florida Wetland Biogeochemistry Laboratory","WBL-M-028","bKF36824dpcABkIQiw5BLQ==","5NMApxg5Cd0pWFY84VRdIg==",NA
"79c45d73-2570-4c5b-8be4-60faf1d587d6","MOAB_006.basePlot.cfc","D13","MOAB","MOAB_006","distributed","S9R44vg6v2+1jRmWdbEcAJawb+LPEfYNK3yvx7MecLo=","S9R44vg6v2+1jRmWdbEcAJawb+LPEfYN/Vnh4K7IhOc=","2017-09-10T19:00Z","2018-02-07",1,0.509,5.29,37.45,"0","0","This is analytical rep 1","University of Florida Wetland Biogeochemistry Laboratory","WBL-M-028","bKF36824dpcABkIQiw5BLQ==","5NMApxg5Cd0pWFY84VRdIg==",NA
"951cc3a0-7c7d-4b85-aaa0-c2d5fd6ba5ff","MOAB_044.basePlot.cfc","D13","MOAB","MOAB_044","tower","S9R44vg6v2/PqhJcPWl0CUyZ239Bg+HAwSXvlakgaB0=","S9R44vg6v2/PqhJcPWl0CUyZ239Bg+HAHRO/QeOOlcE=","2017-09-10T21:00Z","2018-02-07",1,0.553,3.2,30.64,"0","0",NA,"University of Florida Wetland Biogeochemistry Laboratory","WBL-M-028","bKF36824dpcABkIQiw5BLQ==","5NMApxg5Cd0pWFY84VRdIg==",NA
"10fee7bc-0215-4303-a488-831583584086","TOOL_011.basePlot.cfc","D18","TOOL","TOOL_011","distributed","qEiBKdJclf+nR681TpDMXxYIHMlcgulAGWaLowu2mRA=","qEiBKdJclf+nR681TpDMXxYIHMlcgulAg5V2+pox4rA=","2017-07-18T18:00Z","2017-11-07",1,0.53,15.6,9.3,"0","0",NA,"University of Florida Wetland Biogeochemistry Laboratory","WBL-M-028","bKF36824dpcABkIQiw5BLQ==","5NMApxg5Cd0pWFY84VRdIg==",NA
"186a221e-19f3-427b-95b8-787d6cd4538d","TOOL_004.basePlot.cfc","D18","TOOL","TOOL_004","distributed","qEiBKdJclf8Nc8Zps4EcxwGAIQUw1GmRCoVWhrEhE6U=","qEiBKdJclf8Nc8Zps4EcxwGAIQUw1GmRudhNOPlg4Pk=","2017-07-18T19:30Z","2017-11-07",1,0.518,14.01,17.23,"0","0",NA,"University of Florida Wetland Biogeochemistry Laboratory","WBL-M-028","bKF36824dpcABkIQiw5BLQ==","5NMApxg5Cd0pWFY84VRdIg==",NA
"eaaeb827-4fbc-4bb7-bce2-5b1154818aa9","TOOL_016.basePlot.cfc","D18","TOOL","TOOL_016","distributed","qEiBKdJclf/qUXnIi09tl92vPpcsZh9Zw1nJ8WnLMaU=","qEiBKdJclf/qUXnIi09tl92vPpcsZh9ZLszsChWy9tY=","2017-07-18T21:00Z","2017-11-07",1,0.524,11.41,17.68,"0","0","These duplicates contain inconsistent data and can't be resolved","University of Florida Wetland Biogeochemistry Laboratory","WBL-M-028","bKF36824dpcABkIQiw5BLQ==","5NMApxg5Cd0pWFY84VRdIg==",NA
"eaaeb827-4fbc-4bb7-bce2-5b1154818aa8","TOOL_016.basePlot.cfc","D18","TOOL","TOOL_016","distributed","qEiBKdJclf/qUXnIi09tl92vPpcsZh9Zw1nJ8WnLMaU=","qEiBKdJclf/qUXnIi09tl92vPpcsZh9ZLszsChWy9tY=","2017-07-18T21:00Z","2017-11-07",1,0.524,15.62,17.68,"0","0","These duplicates contain inconsistent data and can't be resolved","University of Florida Wetland Biogeochemistry Laboratory","WBL-M-028","bKF36824dpcABkIQiw5BLQ==","5NMApxg5Cd0pWFY84VRdIg==",NA
"e3dfb3ee-fae5-40b2-83ec-cd970e22107c","TOOL_003.basePlot.cfc","D18","TOOL","TOOL_003","distributed","qEiBKdJclf8jL/g0bc0AZWTjS4pNiJ7F5iPB0pMaI1E=","qEiBKdJclf8jL/g0bc0AZWTjS4pNiJ7FpZa2GxaFnQM=","2017-07-18T22:30Z","2017-11-07",1,0.505,4.75,20.65,"0","0",NA,"University of Florida Wetland Biogeochemistry Laboratory","WBL-M-028","bKF36824dpcABkIQiw5BLQ==","5NMApxg5Cd0pWFY84VRdIg==",NA
"645a07c0-0ae8-4afa-b99f-578167c97bac","TOOL_012.basePlot.cfc","D18","TOOL","TOOL_012","distributed","qEiBKdJclf+pOMJALhbbHVboqZWo6JKi03e8lkgE58k=","qEiBKdJclf+pOMJALhbbHVboqZWo6JKi2BrhJmP81Xc=","2017-07-19T18:00Z","2017-11-07",1,0.529,9.59,18.56,"0","0",NA,"University of Florida Wetland Biogeochemistry Laboratory","WBL-M-028","bKF36824dpcABkIQiw5BLQ==","5NMApxg5Cd0pWFY84VRdIg==",NA
"105c9e69-0bc3-49fd-89f4-125b962e5294","TOOL_006.basePlot.cfc","D18","TOOL","TOOL_006","distributed","qEiBKdJclf/gO40VAdsYAXbDbZqloTQ6qvmYhE4HbOc=","qEiBKdJclf/gO40VAdsYAXbDbZqloTQ6diOCkPhPlJY=","2017-07-19T18:30Z","2017-11-07",1,0.528,15.36,16.72,"0","0",NA,"University of Florida Wetland Biogeochemistry Laboratory","WBL-M-028","bKF36824dpcABkIQiw5BLQ==","5NMApxg5Cd0pWFY84VRdIg==",NA
"5a50ddf2-4612-4c40-b5b5-48c35ae5c7c9","TOOL_005.basePlot.cfc","D18","TOOL","TOOL_005","distributed","qEiBKdJclf+XliQfAK4VfFY24gCcvf23CWk08FvWlLY=","qEiBKdJclf+XliQfAK4VfFY24gCcvf23FXlr1NSlCnQ=","2017-07-19T19:30Z","2017-11-07",1,0.505,7.72,14.19,"0","0","This record has some remarks","University of Florida Wetland Biogeochemistry Laboratory","WBL-M-028","bKF36824dpcABkIQiw5BLQ==","5NMApxg5Cd0pWFY84VRdIg==",NA
"5a50ddf2-4612-4c40-b5b5-48c35ae5c7c8","TOOL_005.basePlot.cfc","D18","TOOL","TOOL_005","distributed","qEiBKdJclf+XliQfAK4VfFY24gCcvf23CWk08FvWlLY=","qEiBKdJclf+XliQfAK4VfFY24gCcvf23FXlr1NSlCnQ=","2017-07-19T19:30Z","2017-11-07",1,0.505,7.72,14.19,"0","0","This record differs only in the remarks","University of Florida Wetland Biogeochemistry Laboratory","WBL-M-028","bKF36824dpcABkIQiw5BLQ==","5NMApxg5Cd0pWFY84VRdIg==",NA
"bfd6b7e8-8812-49b5-b676-b8d23ad30b4c","TOOL_013.basePlot.cfc","D18","TOOL","TOOL_013","distributed","qEiBKdJclf8wwTlGiZ1D7IDXKlLzhOfhoMfZE5p8i18=","qEiBKdJclf8wwTlGiZ1D7IDXKlLzhOfhNygyM84BboY=","2017-07-19T20:00Z","2017-11-07",1,NA,11.25,19.85,"0","0","These records have different key values but otherwise differ only in NAs","University of Florida Wetland Biogeochemistry Laboratory","WBL-M-028","bKF36824dpcABkIQiw5BLQ==","5NMApxg5Cd0pWFY84VRdIg==",NA
"bfd6b7e8-8812-49b5-b676-b8d23ad30b45","TOOL_013.basePlot.cfc","D18","TOOL","TOOL_013","distributed","qEiBKdJclf8wwTlGiZ1D7IDXKlLzhOfhoMfZE5p8i18=","qEiBKdJclf8wwTlGiZ1D7IDXKlLzhOfhNygyM84BboY=15","2017-07-19T20:00Z","2017-11-07",1,0.528,NA,19.85,"0","0","These records have different key values but otherwise differ only in NAs","University of Florida Wetland Biogeochemistry Laboratory","WBL-M-028","bKF36824dpcABkIQiw5BLQ==","5NMApxg5Cd0pWFY84VRdIg==",NA
