"DPID","DPName","ABBY","ARIK","BARC","BARR","BART","BIGC","BLAN","BLDE","BLUE","BLWA","BONA","CARI","CLBJ","COMO","CPER","CRAM","CUPE","DCFS","DEJU","DELA","DSNY","FLNT","GRSM","GUAN","GUIL","HARV","HEAL","HOPB","JERC","JORN","KING","KONA","KONZ","LAJA","LECO","LENO","LEWI","LIRO","MART","MAYF","MCDI","MCRA","MLBS","MOAB","NIWO","NOGP","OAES","OKSR","ONAQ","ORNL","OSBS","POSE","PRIN","PRLA","PRPO","PUUM","REDB","RMNP","SCBI","SERC","SJER","SOAP","SRER","STEI","STER","SUGG","SYCA","TALL","TEAK","TECR","TOMB","TOOK","TOOL","TREE","UKFS","UNDE","WALK","WLOU","WOOD","WREF","YELL"
"DP1.10033.001","Litterfall and fine woody debris sampling","1",NA,NA,NA,"1",NA,"1",NA,NA,NA,"1",NA,"1",NA,NA,NA,NA,NA,"1","1",NA,NA,"1","1",NA,"1","1",NA,"1",0,NA,NA,"1",NA,NA,"1",NA,NA,NA,NA,NA,NA,"1",NA,"1",NA,NA,NA,NA,"1","1",NA,NA,NA,NA,"2018",NA,"1","1","1","1","1","1","1",NA,NA,NA,"1","0",NA,NA,NA,NA,"1","1","1",NA,NA,NA,"1","1"
"DP1.10038.001","Mosquito sequences DNA barcode","1",NA,NA,"1","1",NA,"1",NA,NA,NA,"1",NA,"1",NA,"1",NA,NA,"1","1","1","1",NA,"1","1",NA,"1","1",NA,"1",1,NA,"1","1","1",NA,"1",NA,NA,NA,NA,NA,NA,"0","1","1","1","1",NA,"1","1","1",NA,NA,NA,NA,"2018",NA,"1","1","1","1","2018","1","1",1,NA,NA,"1","2018",NA,NA,NA,"1","1","1","1",NA,NA,"1","0","0"
"DP1.10041.001","Mosquito-borne pathogen status","0",NA,NA,"1","1",NA,"1",NA,NA,NA,"1",NA,"1",NA,"1",NA,NA,"1","1","1","1",NA,"0","1",NA,"1","1",NA,"1",0,NA,"1","1","1",NA,"1",NA,NA,NA,NA,NA,NA,"0","1","1","1","1",NA,"1","1","1",NA,NA,NA,NA,"2018",NA,"0","0","1","0","0","0","1",1,NA,NA,"1","0",NA,NA,NA,"1","1","1","1",NA,NA,"1","2018","2018"
"DP1.10043.001","Mosquitoes sampled from CO2 traps","1",NA,NA,"1","1",NA,"1",NA,NA,NA,"1",NA,"1",NA,"1",NA,NA,"1","1","1","1",NA,"1","1",NA,"1","1",NA,"1",1,NA,"1","1","1",NA,"1",NA,NA,NA,NA,NA,NA,"1","1","1","1","1",NA,"1","1","1",NA,NA,NA,NA,"1",NA,"1","1","1","1","1","1","1",1,NA,NA,"1","0",NA,NA,NA,"1","1","1","1",NA,NA,"1","1","1"
"DP1.10045.001","Non-herbaceous perennial vegetation structure","0",NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,"0","0",NA,"0","0",NA,"0",NA,NA,"0",1,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,"0","0",NA,NA,NA,NA,NA,"0","0",NA,NA,NA,NA,"2018",NA,NA,"0","0",NA,"1","1","0",NA,NA,NA,"0","1",NA,NA,NA,NA,"0",NA,"0",NA,NA,NA,"0",NA
"DP1.10047.001","Soil physical properties (Distributed initial characterization)","1",NA,NA,"2018","1",NA,"0",NA,NA,NA,"2018",NA,"1",NA,"1",NA,NA,"1","0","1","1",NA,"1","2018",NA,"1","1",NA,"0",1,NA,"2018","1","0",NA,"2018",NA,NA,NA,NA,NA,NA,"2018","1","2018","1","1",NA,"1","1","1",NA,NA,NA,NA,"2018",NA,"0","1","1","1","2018","2018","1",1,NA,NA,"1","2018",NA,NA,NA,"2018","1","1","1",NA,NA,"1","2018","2018"
"DP1.10053.001","Plant foliar stable isotopes","2021",NA,NA,"2020","2021",NA,"2020",NA,NA,NA,"2019",NA,"2020",NA,"2021",NA,NA,"2019","2018","2021","2018",NA,"1","2020",NA,"2018","2021",NA,"2019",1,NA,"2019","1","2018",NA,"2018",NA,NA,NA,NA,NA,NA,"2018","1","2019","2020","2018",NA,"2021","1","2021",NA,NA,NA,NA,"2020",NA,"2020","1","1","2019","2018","2019","1",1,NA,NA,"1","2020",NA,NA,NA,"1","2021","2018","2019",NA,NA,"1","2020","2019"
"DP1.10055.001","Plant phenology observations","1",NA,NA,"1","1",NA,"1",NA,NA,NA,"1",NA,"1",NA,"1",NA,NA,"1","1","1","1",NA,"1","1",NA,"1","1",NA,"1",1,NA,"1","1","1",NA,"1",NA,NA,NA,NA,NA,NA,"1","1","1","1","1",NA,"1","1","1",NA,NA,NA,NA,"1",NA,"1","1","1","1","1","1","1",1,NA,NA,"1","0",NA,NA,NA,"1","1","1","1",NA,NA,"1","1","1"
"DP1.10058.001","Plant presence and percent cover","1",NA,NA,"1","1",NA,"1",NA,NA,NA,"1",NA,"1",NA,"1",NA,NA,"1","1","1","1",NA,"1","1",NA,"1","1",NA,"1",1,NA,"1","1","1",NA,"1",NA,NA,NA,NA,NA,NA,"1","1","1","1","1",NA,"1","1","1",NA,NA,NA,NA,"1",NA,"1","1","1","1","1","1","1",1,NA,NA,"1","1",NA,NA,NA,"1","1","1","1",NA,NA,"1","1","1"
"DP1.10064.001","Rodent-borne pathogen status","1",NA,NA,"0","1",NA,"1",NA,NA,NA,"0",NA,"1",NA,"0",NA,NA,"0","1","1","1",NA,"0","1",NA,"1","1",NA,"1",0,NA,"0","1","1",NA,"1",NA,NA,NA,NA,NA,NA,"0","1","0","0","1",NA,"1","1","1",NA,NA,NA,NA,NA,NA,"0","1","1","1","0","0","1",0,NA,NA,"1","0",NA,NA,NA,"0","1","1","1",NA,NA,"1","2018",NA
"DP1.10066.001","Root sampling (Megapit)","1",NA,NA,"1","1",NA,"1",NA,NA,NA,"1",NA,"1",NA,"1",NA,NA,"1","1","1","1",NA,"1","1",NA,"1","1",NA,"1",1,NA,NA,"1","1",NA,"1",NA,NA,NA,NA,NA,NA,"1","1","1","1","1",NA,"1","1","1",NA,NA,NA,NA,NA,NA,"1","1","1","1","1","1","1",1,NA,NA,"1","1",NA,NA,NA,NA,"1","1","1",NA,NA,"1","1","2018"
"DP1.10067.001","Root sampling tower plots","2021",NA,NA,"2020","1",NA,"2020",NA,NA,NA,"2019",NA,"2020",NA,"2021",NA,NA,"2019","1","2021","1",NA,"2021","1",NA,"1","2021",NA,"2019",1,NA,"2019","1","2018",NA,"1",NA,NA,NA,NA,NA,NA,"1","1","2019","2020","1",NA,"1","1","2021",NA,NA,NA,NA,"2020",NA,"2020","1","2021","2019","1","2019","1",1,NA,NA,"1","2020",NA,NA,NA,"1","2021","1","1",NA,NA,"1","2020","2019"
"DP1.10072.001","Small mammal box trapping","1",NA,NA,"1","1",NA,"1",NA,NA,NA,"1",NA,"1",NA,"1",NA,NA,"1","1","1","1",NA,"1","1",NA,"1","1",NA,"1",1,NA,"1","1","1",NA,"1",NA,NA,NA,NA,NA,NA,"1","1","1","1","1",NA,"1","1","1",NA,NA,NA,NA,"0",NA,"1","1","1","1","1","1","1",1,NA,NA,"1","0",NA,NA,NA,"1","1","1","1",NA,NA,"1","1","1"
"DP1.10076.001","Small mammal sequences DNA barcode","1",NA,NA,"0","1",NA,"1",NA,NA,NA,"1",NA,"1",NA,"1",NA,NA,"1","1","1","1",NA,"1","1",NA,"1","1",NA,"1",1,NA,"1","1","1",NA,"1",NA,NA,NA,NA,NA,NA,"1","1","1","1","1",NA,"1","1","1",NA,NA,NA,NA,"0",NA,"1","1","1","1","2018","1","1",1,NA,NA,"1","2018",NA,NA,NA,"1","1","1","1",NA,NA,"1","1","0"
"DP1.10078.001","Soil chemical properties (Distributed periodic)","2021",NA,NA,"2020","1",NA,"1",NA,NA,NA,"2019",NA,"2020",NA,"1",NA,NA,"2019","2018","1","1",NA,"1","1",NA,"1","1",NA,"1",1,NA,"2019","1","2018",NA,"2018",NA,NA,NA,NA,NA,NA,"2018","1","1","2020","1",NA,"1","1","1",NA,NA,NA,NA,"2020",NA,"2020","1","1","2019","2018","1","1",1,NA,NA,"1","2020",NA,NA,NA,"1","1","1","1",NA,NA,"1","2020","2019"
"DP1.10080.001","Soil inorganic nitrogen pools and transformations","2021",NA,NA,"2020","2021",NA,"2020",NA,NA,NA,"2019",NA,"2020",NA,"2021",NA,NA,"2019","1","2021","1",NA,"2021","1",NA,"1","2021",NA,"2019",1,NA,"2019","1","2018",NA,"1",NA,NA,NA,NA,NA,NA,"1","1","2019","2020","1",NA,"2021","1","2021",NA,NA,NA,NA,"2020",NA,"2020","1","2021","1","1","2019","1",1,NA,NA,"1","2020",NA,NA,NA,"1","2021","1","2019",NA,NA,"2021","2020","2019"
"DP1.10081.001","Soil microbe community composition","0",NA,NA,"0","1",NA,"0",NA,NA,NA,"0",NA,"0",NA,"1",NA,NA,"0","0","0","0",NA,"0","0",NA,"0","0",NA,"0",0,NA,"0","0","0",NA,"0",NA,NA,NA,NA,NA,NA,"0","0","0","0","0",NA,"0","0","0",NA,NA,NA,NA,"2018",NA,"0","0","0","0","0","0","0",0,NA,NA,"0","0",NA,NA,NA,"0","0","0","0",NA,NA,"1","2018","2018"
"DP1.10086.001","Soil physical properties (Distributed periodic)","1",NA,NA,"1","1",NA,"1",NA,NA,NA,"1",NA,"1",NA,"1",NA,NA,"1","1","1","1",NA,"1","1",NA,"1","1",NA,"1",1,NA,"1","1","1",NA,"1",NA,NA,NA,NA,NA,NA,"1","1","1","1","1",NA,"1","1","1",NA,NA,NA,NA,"2020",NA,"1","1","1","1","1","1","1",1,NA,NA,"1","2020",NA,NA,NA,"1","1","1","1",NA,NA,"1","1","1"
"DP1.10092.001","Tick-borne pathogen status","0",NA,NA,"0","0",NA,"1",NA,NA,NA,"0",NA,"0",NA,"0",NA,NA,"0","0","1","0",NA,"0","0",NA,"1","0",NA,"0",0,NA,"1","1","0",NA,"1",NA,NA,NA,NA,NA,NA,"0","0","0","0","0",NA,"0","1","1",NA,NA,NA,NA,"0",NA,"0","1","1","0","0","0","0",0,NA,NA,"1","0",NA,NA,NA,"0","1","1","0",NA,NA,"0","2018","2018"
"DP1.10093.001","Ticks sampled using drag cloths","1",NA,NA,"1","1",NA,"1",NA,NA,NA,"1",NA,"1",NA,"1",NA,NA,"1","1","1","1",NA,"1","1",NA,"1","1",NA,"1",1,NA,"1","1","1",NA,"1",NA,NA,NA,NA,NA,NA,"1","1","1","1","1",NA,"1","1","1",NA,NA,NA,NA,"0",NA,"1","1","1","1","1","1","1",1,NA,NA,"1","0",NA,NA,NA,"1","1","1","1",NA,NA,"1","1","1"
"DP1.10098.001","Woody plant vegetation structure","1",NA,NA,NA,"1",NA,"1",NA,NA,NA,"1",NA,"1",NA,"1",NA,NA,"1","1","1","1",NA,"1","1",NA,"1","1",NA,"1",1,NA,NA,"1","1",NA,"1",NA,NA,NA,NA,NA,NA,"1","1","1","1",NA,NA,"1","1","1",NA,NA,NA,NA,"1",NA,"1","1","1","1","1","1","1",NA,NA,NA,"1","1",NA,NA,NA,NA,"1","1","1",NA,NA,"1","1","1"
"DP1.10099.001","Root stable isotopes","2021",NA,NA,"2020","1",NA,"1",NA,NA,NA,"2019",NA,"2020",NA,"2021",NA,NA,"2019","2018","1","1",NA,"2021","2020",NA,"1","2021",NA,"1",1,NA,"2019","0","1",NA,"1",NA,NA,NA,NA,NA,NA,"1","1","2019","1","2018",NA,"1","1","1",NA,NA,NA,NA,"2020",NA,"2020","1","1","2019","2018","2019","1",1,NA,NA,"1","2020",NA,NA,NA,"1","1","2018","1",NA,NA,"1","2020","2019"
"DP1.10100.001","Soil stable isotopes (Distributed periodic)","2021",NA,NA,"2020","1",NA,"1",NA,NA,NA,"2019",NA,"2020",NA,"1",NA,NA,"2019","2018","1","1",NA,"1","1",NA,"1","1",NA,"1",1,NA,"2019","1","2018",NA,"2018",NA,NA,NA,NA,NA,NA,"2018","1","1","2020","1",NA,"1","1","1",NA,NA,NA,NA,"2020",NA,"2020","1","1","2019","2018","1","1",1,NA,NA,"1","2020",NA,NA,NA,"1","1","1","1",NA,NA,"1","2020","2019"
"DP1.10101.001","Litter stable isotopes","2021",NA,NA,NA,"1",NA,"2020",NA,NA,NA,"2019",NA,"2020",NA,NA,NA,NA,NA,"2018","2021",NA,NA,"0","2020",NA,"2018","2021",NA,"2019",0,NA,NA,NA,NA,NA,"2018",NA,NA,NA,NA,NA,NA,"2018",NA,"2019",NA,NA,NA,NA,"1","2021",NA,NA,NA,NA,"2020",NA,"2020","1","0","2019","2018","2019","1",NA,NA,NA,"0","2020",NA,NA,NA,NA,"2021","2018","1",NA,NA,NA,"2020","2019"
"DP1.10102.001","Root chemical properties","2021",NA,NA,"2020","1",NA,"1",NA,NA,NA,"2019",NA,"2020",NA,"2021",NA,NA,"2019","2018","1","1",NA,"2021","2020",NA,"1","2021",NA,"1",1,NA,"2019","0","1",NA,"1",NA,NA,NA,NA,NA,NA,"1","1","2019","1","2018",NA,"1","1","1",NA,NA,NA,NA,"2020",NA,"2020","1","1","2019","2018","2019","1",1,NA,NA,"1","2020",NA,NA,NA,"1","1","2018","1",NA,NA,"1","2020","2019"
"DP1.10104.001","Soil microbe biomass","2021",NA,NA,"2020","2021",NA,"2020",NA,NA,NA,"2019",NA,"2020",NA,"2021",NA,NA,"2019","2018","2021","2018",NA,"2021","2020",NA,"2018","2021",NA,"2019",1,NA,"2019","1","2018",NA,"2018",NA,NA,NA,NA,NA,NA,"2018","1","2019","2020","2018",NA,"2021","1","2021",NA,NA,NA,NA,"2020",NA,"2020","1","2021","2019","2018","2019","1",1,NA,NA,"1","2020",NA,NA,NA,"1","2021","2018","2019",NA,NA,"2021","2020","2019"
"DP1.10107.001","Soil microbe metagenome sequences","0",NA,NA,"0","1",NA,"0",NA,NA,NA,"0",NA,"0",NA,"1",NA,NA,"0","0","0","1",NA,"0","0",NA,"1","0",NA,"1",0,NA,"0","0","0",NA,"0",NA,NA,NA,NA,NA,NA,"0","0","0","0","0",NA,"0","0","1",NA,NA,NA,NA,"2018",NA,"0","1","0","0","0","0","0",1,NA,NA,"1","0",NA,NA,NA,"0","0","0","0",NA,NA,"1","2018","2018"
"DP1.10108.001","Soil microbe marker gene sequences","1",NA,NA,"0","1",NA,"0",NA,NA,NA,"0",NA,"0",NA,"1",NA,NA,"1","0","0","1",NA,"1","0",NA,"1","0",NA,"1",1,NA,"1","1","0",NA,"0",NA,NA,NA,NA,NA,NA,"0","1","1","1","1",NA,"1","1","1",NA,NA,NA,NA,"2018",NA,"1","1","0","0","0","0","1",1,NA,NA,"1","0",NA,NA,NA,"0","1","1","1",NA,NA,"1","2018","2018"
"DP1.10109.001","Soil microbe group abundances","0",NA,NA,"0","0",NA,"1",NA,NA,NA,"0",NA,"1",NA,"1",NA,NA,"0","0","1","1",NA,"0","0",NA,"1","0",NA,"1",0,NA,"0","1","1",NA,"0",NA,NA,NA,NA,NA,NA,"0","0","1","1","1",NA,"1","0","1",NA,NA,NA,NA,"2018",NA,"0","1","1","0","0","0","1",1,NA,NA,"1","0",NA,NA,NA,"0","0","1","0",NA,NA,"1","2018","2018"
"DP1.20002.001","Land-water interface images",NA,"1",1,NA,NA,"1",NA,"1","1","1",NA,"1",NA,"1",NA,"1","1",NA,NA,NA,NA,1,NA,NA,"1",NA,NA,"1",NA,NA,"1",NA,NA,NA,"1",NA,"1","1","1","1","1","1",NA,NA,NA,NA,NA,"0",NA,NA,NA,"1","1","1","1",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,1,"1",NA,NA,"1","1","1",NA,NA,NA,NA,"1","1",NA,NA,NA
"DP1.20004.001","Barometric pressure above water on-buoy",NA,NA,1,NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA
"DP1.20008.001","Specific conductivity of surface water","0","0",0,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",0,"0","0","0","0","0","0","0",0,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",0,0,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"DP1.20015.001","Specific conductivity in groundwater",NA,"1",1,NA,NA,"0",NA,"0","0","0",NA,"1",NA,"1",NA,"1",NA,NA,NA,NA,NA,1,NA,NA,"0",NA,NA,"1",NA,NA,"1",NA,NA,NA,NA,NA,"0","1",NA,"1","0","0",NA,NA,NA,NA,NA,"0",NA,NA,NA,"1","1","1","0",NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,0,"1",NA,NA,"0","0","0",NA,NA,NA,NA,"1","1",NA,NA,NA
"DP1.20016.001","Elevation of surface water",NA,"1",1,NA,NA,"0",NA,"0","0","0",NA,"1",NA,"1",NA,"1","0",NA,NA,NA,NA,1,NA,NA,"0",NA,NA,"1",NA,NA,"1",NA,NA,NA,"1",NA,"1","1","1","1","1","1",NA,NA,NA,NA,NA,"1",NA,NA,NA,"1","1","1","1",NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,1,"0",NA,NA,"0","0","1",NA,NA,NA,NA,"1","1",NA,NA,NA
"DP1.20032.001","Shortwave and longwave radiation above water on-buoy (net radiometer)",NA,NA,1,NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA
"DP1.20033.001","Nitrate in surface water",NA,"1",1,NA,NA,"1",NA,"1","1","1",NA,"1",NA,"1",NA,"1","1",NA,NA,NA,NA,1,NA,NA,"1",NA,NA,"1",NA,NA,"1",NA,NA,NA,"1",NA,"1","1","1","1","1","1",NA,NA,NA,NA,NA,"1",NA,NA,NA,"1","1","1","1",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,1,"1",NA,NA,"0","1","1",NA,NA,NA,NA,"1","1",NA,NA,NA
"DP1.20042.001","Photosynthetically active radiation at water surface",NA,"1",1,NA,NA,"0",NA,"0","0","0",NA,"1",NA,"1",NA,"1","0",NA,NA,NA,NA,1,NA,NA,"0",NA,NA,"1",NA,NA,"1",NA,NA,NA,"1",NA,"1","1","1","1","1","1",NA,NA,NA,NA,NA,"1",NA,NA,NA,"1","1","0","1",NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,1,"1",NA,NA,"0","0","0",NA,NA,NA,NA,"1","1",NA,NA,NA
"DP1.20046.001","Air temperature above water on-buoy",NA,NA,1,NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA
"DP1.20048.001","Stream discharge field collection",NA,"1",NA,NA,NA,"1",NA,"1","1","2018",NA,"1",NA,"1",NA,NA,"1",NA,NA,NA,NA,1,NA,NA,"1",NA,NA,"1",NA,NA,"1",NA,NA,NA,"1",NA,"1",NA,"1","1","1","1",NA,NA,NA,NA,NA,"1",NA,NA,NA,"1","1",NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,"1","2018",NA,NA,NA,NA,NA,"1","1",NA,NA,NA
"DP1.20053.001","Temperature (PRT) in surface water",NA,"1",NA,NA,NA,"0",NA,"0","0",NA,NA,"1",NA,"1",NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,"1",NA,NA,"1",NA,NA,NA,"1",NA,"1",NA,"1","1","1","1",NA,NA,NA,NA,NA,"1",NA,NA,NA,"1","1",NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,"0",NA,NA,NA,NA,NA,NA,"1","1",NA,NA,NA
"DP1.20054.001","Temperature (digital thermistor) of surface water","0","0",0,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",0,"0","0","0","0","0","0","0",0,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",0,0,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"DP1.20059.001","Windspeed and direction above water on-buoy",NA,NA,1,NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA
"DP1.20063.001","Aquatic plant bryophyte chemical properties",NA,"1",1,NA,NA,"2018",NA,"2018","0","0",NA,"0",NA,"1",NA,"1","0",NA,NA,NA,NA,0,NA,NA,"0",NA,NA,"1",NA,NA,"0",NA,NA,NA,"0",NA,"0","0","2018","1","0","0",NA,NA,NA,NA,NA,"1",NA,NA,NA,"0","1","1","1",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,1,"1",NA,NA,"2018","0","1",NA,NA,NA,NA,"1","0",NA,NA,NA
"DP1.20066.001","Aquatic plant bryophyte macroalgae clip harvest",NA,"1",1,NA,NA,"1",NA,"1","1","1",NA,"1",NA,"1",NA,"1","1",NA,NA,NA,NA,1,NA,NA,"1",NA,NA,"1",NA,NA,"1",NA,NA,NA,"1",NA,"1","1","1","1","1","1",NA,NA,NA,NA,NA,"1",NA,NA,NA,"1","1","1","1",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,1,"1",NA,NA,"2018","1","1",NA,NA,NA,NA,"1","1",NA,NA,NA
